date,account_id,segment,region,industry,product,channel,spend,impressions,clicks,leads,stage,opportunity_value,rep_id,cycle_days,status,renewal_flag,expansion_value
2024-08-27,A00134,Enterprise,NA,AI/ML,Core,partner,42.71,471,0,1,MQL,143461.42,R020,121,open,0,0.0
2024-08-28,A01161,SMB,NA,HealthTech,Core,outbound,337.41,3793,0,0,Closed-Won,8620.71,R026,41,closed,0,862.07
2024-08-29,A00982,Mid-Market,NA,SaaS,Add-on A,paid_search,203.82,3614,126,12,MQL,7034.18,R044,68,open,0,703.42
2024-08-30,A00658,Enterprise,EMEA,AI/ML,Core,paid_search,127.03,2422,84,7,MQL,131683.23,R029,112,open,0,0.0
2024-08-31,A00650,SMB,APAC,AI/ML,Core,outbound,129.2,1864,0,0,SQL,8457.04,R023,48,open,0,0.0
2024-09-01,A01288,SMB,APAC,FinTech,Add-on B,paid_search,64.78,533,18,4,SAL,3087.13,R029,21,open,0,0.0
2024-09-02,A00129,Enterprise,NA,HealthTech,Core,partner,27.53,337,0,0,Commit,106946.2,R033,141,open,1,0.0
2024-09-03,A01046,SMB,EMEA,SaaS,Core,partner,14.7,157,0,0,SAL,6930.23,R009,33,open,0,0.0
2024-09-04,A00303,SMB,NA,AI/ML,Add-on B,partner,14.71,207,0,0,SAL,2666.93,R024,53,open,0,0.0
2024-09-05,A00142,SMB,EMEA,Ecommerce,Core,paid_social,213.78,3461,41,1,MQL,8445.67,R031,46,open,0,844.57
2024-09-06,A00790,SMB,EMEA,SaaS,Add-on B,outbound,149.86,1904,0,0,Closed-Won,2991.71,R009,27,closed,0,0.0
2024-09-07,A01463,Mid-Market,EMEA,Ecommerce,Add-on A,outbound,236.26,3413,0,0,SQL,8813.05,R034,94,open,0,0.0
2024-09-08,A01103,Mid-Market,EMEA,HealthTech,Core,paid_search,601.42,10295,360,27,SQL,35352.92,R001,91,open,1,0.0
2024-09-09,A01141,SMB,LATAM,HealthTech,Core,paid_search,167.02,1829,64,9,Proposal,8343.37,R001,21,open,0,0.0
2024-09-10,A01076,Enterprise,NA,FinTech,Core,paid_search,59.75,618,21,3,MQL,124538.21,R018,118,open,0,0.0
2024-09-11,A01179,SMB,NA,AI/ML,Core,paid_social,632.19,11169,134,4,Commit,8061.05,R028,48,open,0,0.0
2024-09-12,A00770,SMB,NA,HealthTech,Core,partner,17.69,149,0,0,SAL,6896.38,R006,13,open,0,689.64
2024-09-13,A00193,Mid-Market,EMEA,AI/ML,Core,referral,72.76,713,0,0,Proposal,28378.6,R019,43,open,0,0.0
2024-09-14,A01259,Enterprise,EMEA,SaaS,Core,paid_social,100.35,817,9,0,SQL,123656.87,R009,107,open,1,0.0
2024-09-15,A00676,SMB,EMEA,HealthTech,Add-on A,events,1381.45,20258,0,0,SAL,1938.58,R039,25,open,0,193.86
2024-09-16,A00751,SMB,APAC,FinTech,Core,paid_search,825.24,12544,439,44,Proposal,7712.38,R033,29,open,1,0.0
2024-09-17,A00556,Mid-Market,NA,AI/ML,Add-on A,paid_search,402.85,5789,202,18,SQL,8505.23,R042,55,open,0,850.52
2024-09-18,A00274,Enterprise,EMEA,HealthTech,Add-on B,paid_search,83.39,1081,37,2,MQL,40580.01,R017,118,open,0,0.0
2024-09-19,A01390,SMB,APAC,Ecommerce,Add-on A,outbound,24.31,348,0,0,SQL,1743.41,R026,31,open,0,0.0
2024-09-20,A01172,SMB,NA,SaaS,Add-on A,outbound,65.74,678,0,0,SAL,2129.72,R016,61,open,0,0.0
2024-09-21,A00966,Mid-Market,NA,Ecommerce,Add-on A,referral,5.37,96,0,0,Proposal,8798.24,R018,77,open,0,2639.47
2024-09-22,A00604,SMB,NA,SaaS,Core,referral,17.66,349,0,0,Proposal,8350.92,R025,56,open,0,0.0
2024-09-23,A01234,SMB,NA,FinTech,Core,paid_search,76.52,1108,38,3,MQL,6813.89,R042,19,open,0,0.0
2024-09-24,A00818,SMB,APAC,FinTech,Add-on B,outbound,75.6,944,0,0,MQL,3602.1,R039,35,open,1,0.0
2024-09-25,A00665,SMB,LATAM,SaaS,Add-on A,paid_search,121.93,2133,74,11,MQL,1898.11,R012,47,open,0,0.0
2024-09-26,A00676,Mid-Market,EMEA,HealthTech,Add-on A,paid_social,519.39,5358,64,4,SQL,9145.75,R014,81,open,0,0.0
2024-09-27,A00341,Enterprise,NA,FinTech,Add-on B,events,1304.97,15462,0,0,Commit,47340.54,R022,110,open,0,0.0
2024-09-28,A00139,Mid-Market,EMEA,HealthTech,Core,paid_search,744.42,14352,502,43,SQL,34556.52,R034,67,open,0,0.0
2024-09-29,A00832,Mid-Market,APAC,Ecommerce,Core,paid_search,370.37,3790,132,21,Proposal,38900.13,R016,69,open,0,3890.01
2024-09-30,A01331,Enterprise,NA,SaaS,Core,paid_search,115.22,1076,37,2,SAL,101296.75,R003,115,open,0,0.0
2024-10-01,A00096,SMB,APAC,Ecommerce,Core,paid_search,533.74,7769,271,37,SAL,6639.33,R007,77,open,0,0.0
2024-10-02,A01287,SMB,NA,FinTech,Core,partner,47.09,708,0,0,Closed-Lost,6723.39,R018,49,closed,0,0.0
2024-10-03,A01241,Enterprise,NA,FinTech,Add-on A,paid_social,248.1,3762,45,2,MQL,35943.6,R040,120,open,0,0.0
